sample_id,label,prediction,classification_correct,expected_logit,dense,categorical_ids,embedding_0,embedding_1,embedding_2,embedding_3,expected_bottom,expected_interaction
0,0,0,1,-393,-575;591;123;-461;2813;-2032;28;-519,55;45;49;63,-228;270;342;22;-301;51;453;427,-67;-338;131;150;-60;-240;-118;-71,258;24;186;424;181;241;254;306,268;272;167;-333;163;315;-170;268,849;85;853;165;0;542;1225;1930,849;85;853;165;0;542;1225;1930;748;-176;-52;724;109;-28;399;32;-109;54
1,0,0,1,-2698,-1442;1463;-2411;-1475;3281;-3189;3814;-791,33;21;24;33,-256;23;-193;149;-93;-20;-347;-179,-315;-5;-270;-363;313;-71;-144;-521,-203;-199;224;14;-221;-167;-95;-25,121;104;164;140;-136;-12;34;-37,0;0;632;8107;0;0;0;8942,0;0;632;8107;0;0;0;8942;-251;-3795;95;15;33;-15;443;-15;-79;11
2,1,1,1,866,203;1311;-1260;1425;1533;-222;3713;-929,8;19;55;81,-78;-108;372;218;-299;375;175;371,-50;165;175;-40;-28;77;-11;211,157;45;51;184;-94;-194;-66;175,-470;-131;148;-66;-352;20;-353;70,2630;1973;1461;1335;0;332;2667;1857,2630;1973;1461;1335;0;332;2667;1857;828;383;76;443;25;13;-1060;82;30;-10
3,1,1,1,1386,-1681;-463;4636;1216;-58;790;1199;2663,2;75;66;54,203;32;-68;32;293;314;-326;-187,367;131;293;-180;-365;-96;127;69,151;-65;7;-6;-688;-554;110;399,-349;133;-13;-337;-53;61;-44;169,3276;3142;1063;195;0;3426;3943;0,3276;3142;1063;195;0;3426;3943;0;239;1007;-68;-570;-224;193;-376;-44;-17;3
4,0,0,1,-1392,-2631;-3027;3104;-421;-830;-39;1610;233,14;3;34;27,-8;-361;351;-25;384;-45;-134;-61,-55;305;309;-27;23;21;-43;306,-136;-380;-280;95;330;-165;-111;-149,-92;-557;81;235;420;-71;-354;2,0;0;0;1812;0;4617;0;5769,0;0;0;1812;0;4617;0;5769;-295;885;-3;-708;96;-114;53;213;-60;202
5,0,0,1,-785,1422;-248;783;-3398;-4558;1991;1732;-994,44;53;75;41,-63;419;186;-108;-298;-279;57;67,5;423;1;163;-93;54;110;183,270;-359;-469;182;-94;246;283;48,198;-59;-243;360;77;40;183;514,1436;166;1152;1370;0;2688;1827;3555,1436;166;1152;1370;0;2688;1827;3555;-177;634;93;677;-144;-29;1346;-54;70;163
6,0,0,1,-1567,-990;-1521;218;-995;297;-1648;2933;-2062,13;49;14;66,-45;-71;-115;-121;69;-80;-370;-62,64;-92;-277;143;-214;123;-125;-337,61;230;-54;6;-210;466;-56;562,-96;-70;-174;-116;-372;-261;-122;352,0;225;343;4352;0;644;0;4806,0;225;343;4352;0;644;0;4806;-455;-505;30;1494;-39;-40;461;30;-12;72
7,0,0,1,-2490,493;-4092;110;-2664;-2917;2313;-1074;-1890,55;67;27;92,-228;270;342;22;-301;51;453;427,138;268;693;110;-330;-160;228;-138,-55;-204;55;-87;78;247;-498;91,-139;-197;-218;201;411;27;-285;-180,0;0;1932;786;0;8535;0;9174,0;0;1932;786;0;8535;0;9174;2456;-589;203;1455;-109;-110;-822;-205;-186;89
8,0,0,1,-1873,-173;-884;-1960;-432;1918;-585;-4950;-3454,51;73;75;83,-84;-10;125;161;-17;105;76;-144,520;-109;-41;-123;-118;134;208;-42,270;-359;-469;182;-94;246;283;48,-153;62;14;84;-249;-165;-228;-202,1452;0;1597;3880;0;3727;0;9534,1452;0;1597;3880;0;3727;0;9534;-136;152;-14;842;-3;135;-1179;13;-63;-71
9,0,0,1,-1978,-1789;-1294;-454;-170;-1559;2727;20;-882,62;73;89;41,-158;-79;257;291;-107;143;333;-200,520;-109;-41;-123;-118;134;208;-42,-23;-151;-285;257;-201;138;-71;-167,198;-59;-243;360;77;40;183;514,248;0;0;2791;0;3877;0;6435,248;0;0;2791;0;3877;0;6435;20;17;-5;84;33;9;2205;-14;43;28
10,0,0,1,-1154,-759;-296;115;-2374;1709;1351;-586;-1060,31;8;65;48,-115;101;1;86;297;420;198;-150,17;227;351;442;312;107;166;111,-180;185;-69;-35;-139;18;-108;295,-453;36;64;4;61;-148;-195;-137,0;0;153;3040;0;1456;0;5204,0;0;153;3040;0;1456;0;5204;45;1040;104;705;-31;-13;-443;-3;-10;26
11,1,1,1,1076,4369;567;1129;1330;652;-1892;-784;3986,46;70;51;112,119;294;401;-143;126;110;-342;-134,-193;229;-320;-346;-54;-217;-112;-237,455;-409;297;233;-403;67;296;402,89;550;348;190;-150;213;306;283,5147;5011;3424;0;0;4817;8697;0,5147;5011;3424;0;0;4817;8697;0;495;-1446;2;2054;-87;-234;3952;72;-101;118
12,0,1,0,379,-472;-74;-1429;414;-3794;4318;2360;3172,54;26;41;51,663;645;-40;137;316;-11;-239;-222,-21;-24;-87;-240;-104;156;10;-103,47;-359;4;-406;-176;114;-15;-151,6;-216;-59;-380;362;91;248;-72,3450;1175;831;3257;0;2718;1661;3520,3450;1175;831;3257;0;2718;1661;3520;1099;-428;-36;-891;-135;76;-544;-56;43;91
13,0,0,1,-51,-1731;881;-869;112;-2058;4769;1036;-263,28;68;94;79,-365;-332;268;232;-169;-383;-529;-69,244;413;334;-203;-133;42;-133;91,-245;-115;-155;-65;-189;151;-336;211,-15;-37;-66;134;-141;326;-185;-213,3381;0;0;2611;0;1046;1610;3732,3381;0;0;2611;0;1046;1610;3732;-1044;227;-55;-290;102;-25;-221;21;-15;50
14,0,0,1,-1032,-2981;-2696;945;4079;-956;345;-4312;715,40;21;79;95,192;255;83;40;350;250;123;-94,-315;-5;-270;-363;313;-71;-144;-521,-476;-77;-69;85;-196;261;-628;13,31;-97;-108;-41;275;-216;108;-266,4228;2053;212;464;0;8595;0;6941,4228;2053;212;464;0;8595;0;6941;1400;-2829;12;92;-95;69;-1862;25;127;-90
15,1,1,1,1759,2031;-2169;287;2737;-2173;-479;-2970;-450,26;66;72;79,5;-145;423;71;-317;516;54;-93,53;-31;232;-318;-310;337;25;50,45;58;-205;-143;-117;-19;-578;-45,-15;-37;-66;134;-141;326;-185;-213,4387;1905;2593;0;0;8872;114;2405,4387;1905;2593;0;0;8872;114;2405;2541;1898;170;-277;-51;6;1002;102;39;58
16,1,1,1,105,2699;175;-214;-1358;1133;271;1968;-1553,52;38;61;57,216;306;368;133;191;349;285;187,309;171;250;-155;-224;82;-5;255,-215;-112;254;-190;159;-371;-149;-68,313;17;246;241;-355;356;-36;203,1535;428;1555;1407;0;45;378;3187,1535;428;1555;1407;0;45;378;3187;948;748;109;-264;-81;-37;908;136;139;-122
17,1,1,1,922,-537;-1239;4412;-1263;3785;2127;-194;-2927,11;0;67;22,41;-54;-320;-21;-103;-166;-6;228,146;103;62;-7;-9;-164;166;-80,21;334;-149;-242;-48;155;219;79,128;152;-413;-207;-117;213;-63;339,2747;305;2976;0;0;3941;2057;1476,2747;305;2976;0;0;3941;2057;1476;-579;95;-5;437;15;17;185;92;-30;106
18,1,1,1,657,3329;407;-2439;1211;424;-1181;2205;-3287,10;16;67;54,142;-109;-34;431;18;144;-80;152,289;35;-12;-217;177;-241;-48;-268,21;334;-149;-242;-48;155;219;79,-349;133;-13;-337;-53;61;-44;169,3086;2037;3053;3407;0;21;2856;5002,3086;2037;3053;3407;0;21;2856;5002;1033;-633;-61;239;-57;-3;-622;-84;-44;67
