sample_id,label,expected_logit,fpga_logit,expected_prediction,fpga_prediction,logit_exact,prediction_exact,classification_correct,result_index,result_tag,bottom_count,interaction_count
0,0,-393,-393,0,0,1,1,1,0,4,8,18
1,0,-2698,-2698,0,0,1,1,1,0,4,8,18
2,1,866,866,1,1,1,1,1,0,4,8,18
3,1,1386,1386,1,1,1,1,1,0,4,8,18
4,0,-1392,-1392,0,0,1,1,1,0,4,8,18
5,0,-785,-785,0,0,1,1,1,0,4,8,18
6,0,-1567,-1567,0,0,1,1,1,0,4,8,18
7,0,-2490,-2490,0,0,1,1,1,0,4,8,18
8,0,-1873,-1873,0,0,1,1,1,0,4,8,18
9,0,-1978,-1978,0,0,1,1,1,0,4,8,18
10,0,-1154,-1154,0,0,1,1,1,0,4,8,18
11,1,1076,1076,1,1,1,1,1,0,4,8,18
12,0,379,379,1,1,1,1,0,0,4,8,18
13,0,-51,-51,0,0,1,1,1,0,4,8,18
14,0,-1032,-1032,0,0,1,1,1,0,4,8,18
15,1,1759,1759,1,1,1,1,1,0,4,8,18
16,1,105,105,1,1,1,1,1,0,4,8,18
17,1,922,922,1,1,1,1,1,0,4,8,18
18,1,657,657,1,1,1,1,1,0,4,8,18
19,1,1306,1306,1,1,1,1,1,0,4,8,18
20,1,105,105,1,1,1,1,1,0,4,8,18
21,1,551,551,1,1,1,1,1,0,4,8,18
22,0,209,209,1,1,1,1,0,0,4,8,18
23,1,402,402,1,1,1,1,1,0,4,8,18
24,0,-1184,-1184,0,0,1,1,1,0,4,8,18
25,1,-162,-162,0,0,1,1,0,0,4,8,18
26,1,685,685,1,1,1,1,1,0,4,8,18
27,0,-958,-958,0,0,1,1,1,0,4,8,18
28,0,-285,-285,0,0,1,1,1,0,4,8,18
29,0,-851,-851,0,0,1,1,1,0,4,8,18
30,0,-3305,-3305,0,0,1,1,1,0,4,8,18
31,0,-807,-807,0,0,1,1,1,0,4,8,18
32,1,1366,1366,1,1,1,1,1,0,4,8,18
33,0,-798,-798,0,0,1,1,1,0,4,8,18
34,1,690,690,1,1,1,1,1,0,4,8,18
35,1,1637,1637,1,1,1,1,1,0,4,8,18
36,1,-415,-415,0,0,1,1,0,0,4,8,18
37,1,2376,2376,1,1,1,1,1,0,4,8,18
38,1,1152,1152,1,1,1,1,1,0,4,8,18
39,0,-2604,-2604,0,0,1,1,1,0,4,8,18
40,0,-442,-442,0,0,1,1,1,0,4,8,18
41,0,-3506,-3506,0,0,1,1,1,0,4,8,18
42,1,-251,-251,0,0,1,1,0,0,4,8,18
43,0,-2341,-2341,0,0,1,1,1,0,4,8,18
44,1,1477,1477,1,1,1,1,1,0,4,8,18
45,0,-1567,-1567,0,0,1,1,1,0,4,8,18
46,1,68,68,1,1,1,1,1,0,4,8,18
47,0,-1464,-1464,0,0,1,1,1,0,4,8,18
48,0,-774,-774,0,0,1,1,1,0,4,8,18
49,0,-3768,-3768,0,0,1,1,1,0,4,8,18
50,1,849,849,1,1,1,1,1,0,4,8,18
51,1,-680,-680,0,0,1,1,0,0,4,8,18
52,0,-2177,-2177,0,0,1,1,1,0,4,8,18
53,1,758,758,1,1,1,1,1,0,4,8,18
54,0,-2402,-2402,0,0,1,1,1,0,4,8,18
55,1,1589,1589,1,1,1,1,1,0,4,8,18
56,1,969,969,1,1,1,1,1,0,4,8,18
57,0,2,2,1,1,1,1,0,0,4,8,18
58,1,150,150,1,1,1,1,1,0,4,8,18
59,0,-1572,-1572,0,0,1,1,1,0,4,8,18
60,1,2144,2144,1,1,1,1,1,0,4,8,18
61,0,-1737,-1737,0,0,1,1,1,0,4,8,18
62,0,-783,-783,0,0,1,1,1,0,4,8,18
63,0,-4321,-4321,0,0,1,1,1,0,4,8,18
64,1,-157,-157,0,0,1,1,0,0,4,8,18
65,0,-2240,-2240,0,0,1,1,1,0,4,8,18
66,0,-1508,-1508,0,0,1,1,1,0,4,8,18
67,0,266,266,1,1,1,1,0,0,4,8,18
68,0,398,398,1,1,1,1,0,0,4,8,18
69,0,-2322,-2322,0,0,1,1,1,0,4,8,18
70,1,1712,1712,1,1,1,1,1,0,4,8,18
71,1,175,175,1,1,1,1,1,0,4,8,18
72,0,-1216,-1216,0,0,1,1,1,0,4,8,18
73,1,1465,1465,1,1,1,1,1,0,4,8,18
74,1,2097,2097,1,1,1,1,1,0,4,8,18
75,1,678,678,1,1,1,1,1,0,4,8,18
76,1,596,596,1,1,1,1,1,0,4,8,18
77,1,500,500,1,1,1,1,1,0,4,8,18
78,1,2778,2778,1,1,1,1,1,0,4,8,18
79,1,2476,2476,1,1,1,1,1,0,4,8,18
80,1,944,944,1,1,1,1,1,0,4,8,18
81,1,-183,-183,0,0,1,1,0,0,4,8,18
82,0,-1439,-1439,0,0,1,1,1,0,4,8,18
83,0,-2832,-2832,0,0,1,1,1,0,4,8,18
84,0,-2332,-2332,0,0,1,1,1,0,4,8,18
85,1,1093,1093,1,1,1,1,1,0,4,8,18
86,0,-1191,-1191,0,0,1,1,1,0,4,8,18
87,0,-1790,-1790,0,0,1,1,1,0,4,8,18
88,1,774,774,1,1,1,1,1,0,4,8,18
89,1,2673,2673,1,1,1,1,1,0,4,8,18
90,1,451,451,1,1,1,1,1,0,4,8,18
91,1,-1425,-1425,0,0,1,1,0,0,4,8,18
92,1,1250,1250,1,1,1,1,1,0,4,8,18
93,0,-805,-805,0,0,1,1,1,0,4,8,18
94,1,407,407,1,1,1,1,1,0,4,8,18
95,0,-860,-860,0,0,1,1,1,0,4,8,18
96,1,1727,1727,1,1,1,1,1,0,4,8,18
97,0,-2116,-2116,0,0,1,1,1,0,4,8,18
98,0,-291,-291,0,0,1,1,1,0,4,8,18
99,1,1482,1482,1,1,1,1,1,0,4,8,18
100,0,-1071,-1071,0,0,1,1,1,0,4,8,18
101,0,-1357,-1357,0,0,1,1,1,0,4,8,18
102,0,-771,-771,0,0,1,1,1,0,4,8,18
103,0,-326,-326,0,0,1,1,1,0,4,8,18
104,1,1157,1157,1,1,1,1,1,0,4,8,18
105,0,-1905,-1905,0,0,1,1,1,0,4,8,18
106,1,1892,1892,1,1,1,1,1,0,4,8,18
107,1,1123,1123,1,1,1,1,1,0,4,8,18
108,0,-1719,-1719,0,0,1,1,1,0,4,8,18
109,1,396,396,1,1,1,1,1,0,4,8,18
110,0,-773,-773,0,0,1,1,1,0,4,8,18
111,0,-1069,-1069,0,0,1,1,1,0,4,8,18
112,1,1817,1817,1,1,1,1,1,0,4,8,18
113,0,-1426,-1426,0,0,1,1,1,0,4,8,18
114,1,1420,1420,1,1,1,1,1,0,4,8,18
115,0,-2252,-2252,0,0,1,1,1,0,4,8,18
116,0,-845,-845,0,0,1,1,1,0,4,8,18
